Time (UTC),Open,High,Low,Close,Volume 
2024.04.29 06:35:00,2331.852,2331.872,2329.955,2330.382,0.09493
2024.04.29 06:40:00,2330.392,2330.645,2328.805,2328.855,0.08972
2024.04.29 06:45:00,2328.815,2329.205,2328.415,2328.915,0.06022
2024.04.29 06:50:00,2328.905,2329.495,2327.835,2327.845,0.05972
2024.04.29 06:55:00,2327.845,2329.475,2327.685,2329.392,0.06079
2024.04.29 07:00:00,2329.392,2331.215,2329.392,2329.972,0.16777
2024.04.29 07:05:00,2329.985,2331.775,2329.355,2330.752,0.2628
2024.04.29 07:10:00,2330.725,2332.702,2330.685,2332.302,0.30538
2024.04.29 07:15:00,2332.335,2332.845,2331.472,2332.215,0.22645
2024.04.29 07:20:00,2332.215,2333.555,2331.505,2333.385,0.1914
2024.04.29 07:25:00,2333.435,2334.025,2332.385,2333.285,0.17586
2024.04.29 07:30:00,2333.265,2337.155,2333.265,2336.865,0.35707
2024.04.29 07:35:00,2336.865,2338.165,2336.595,2337.125,0.31923
2024.04.29 07:40:00,2337.155,2338.145,2336.325,2336.335,0.32373
2024.04.29 07:45:00,2336.355,2336.585,2334.945,2335.105,0.12915
2024.04.29 07:50:00,2335.095,2336.115,2334.935,2335.995,0.10914
2024.04.29 07:55:00,2335.995,2337.615,2335.895,2337.525,0.10056
2024.04.29 08:00:00,2337.365,2338.305,2336.982,2337.635,0.22527
2024.04.29 08:05:00,2337.615,2338.015,2336.935,2337.445,0.08679
2024.04.29 08:10:00,2337.442,2338.105,2336.735,2336.995,0.17548
2024.04.29 08:15:00,2336.995,2337.175,2336.375,2336.535,0.29379
2024.04.29 08:20:00,2336.535,2338.555,2336.465,2338.555,0.17331
2024.04.29 08:25:00,2338.595,2338.662,2337.842,2338.645,0.20597
2024.04.29 08:30:00,2338.645,2340.015,2338.035,2339.805,0.33213
2024.04.29 08:35:00,2339.835,2340.555,2338.962,2340.345,0.3019
2024.04.29 08:40:00,2340.345,2341.525,2339.335,2339.695,0.16505
2024.04.29 08:45:00,2339.695,2339.805,2337.995,2338.165,0.22011
2024.04.29 08:50:00,2338.165,2339.622,2338.075,2339.285,0.29497
2024.04.29 08:55:00,2339.305,2339.305,2337.995,2338.375,0.2183
2024.04.29 09:00:00,2338.335,2338.595,2336.965,2337.165,0.11331
2024.04.29 09:05:00,2337.165,2339.615,2337.075,2339.565,0.28955
2024.04.29 09:10:00,2339.575,2339.632,2338.475,2338.515,0.25099
2024.04.29 09:15:00,2338.535,2338.675,2337.882,2338.195,0.22355
2024.04.29 09:20:00,2338.255,2338.525,2337.942,2338.102,0.14965
2024.04.29 09:25:00,2338.072,2338.905,2337.635,2337.725,0.20577
2024.04.29 09:30:00,2337.725,2338.615,2337.575,2338.395,0.22537
2024.04.29 09:35:00,2338.425,2339.545,2338.335,2339.202,0.18414
2024.04.29 09:40:00,2339.202,2339.992,2338.522,2339.992,0.11305
2024.04.29 09:45:00,2340.015,2343.942,2339.992,2342.585,0.2979
2024.04.29 09:50:00,2342.585,2344.645,2342.585,2343.885,0.20121
2024.04.29 09:55:00,2343.895,2344.005,2342.875,2343.435,0.17638
2024.04.29 10:00:00,2343.455,2343.555,2342.565,2342.655,0.07962
2024.04.29 10:05:00,2342.655,2343.085,2342.285,2343.035,0.07703
